K,budget_violation_rate,calibration_max_steps,calibration_scene_ids,calibration_seeds,experiment,failure_count,model,planning_mean_sec,planning_p50_sec,planning_p90_sec,proposal_p50_sec,proposal_p90_sec,reused,run_dir,scoring_p50_sec,scoring_p90_sec,step_count,wall_p50_sec,wall_p90_sec
1,nan,5,"0,1",0,id_n_sweep,0,cem_aif,0.0061134463991038505,0.00607260299148038,0.006162458460312336,0.003051417996175587,0.0031651205033995213,False,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cem_aif/K1,0.002922118059359491,0.0029404183151200414,10,0.0065293965162709355,0.006611661601345986
2,nan,5,"0,1",0,id_n_sweep,0,cem_aif,0.01174134820466861,0.011741346039343625,0.011772231687791646,0.005876537528820336,0.005906728212721646,False,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cem_aif/K2,0.005769528972450644,0.005790639854967594,10,0.012213344569317997,0.012241771223489196
4,nan,5,"0,1",0,id_n_sweep,0,cem_aif,0.023285911488346755,0.023245509015396237,0.023485442937817423,0.011625847953837365,0.011769031814765185,False,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cem_aif/K4,0.011509262432809919,0.01161221134243533,10,0.023738812480587512,0.023969854798633606
8,nan,5,"0,1",0,id_n_sweep,0,cem_aif,0.04630832147086039,0.04633946646936238,0.04655846714740619,0.023156521026976407,0.023326637817081063,False,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cem_aif/K8,0.023089163412805647,0.02315038340166211,10,0.04686755599686876,0.04708974335808307
16,nan,5,"0,1",0,id_n_sweep,0,cem_aif,0.09237014201935381,0.0923747579799965,0.09292227256810293,0.046162907499819994,0.04645168151473626,False,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cem_aif/K16,0.04604406747967005,0.04632150594843552,10,0.09299410949461162,0.09351620118832216
32,nan,5,"0,1",0,id_n_sweep,0,cem_aif,0.18689294912619517,0.1841553460690193,0.18789875984657556,0.09199865645496175,0.09243202744983137,False,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cem_aif/K32,0.09191479248693213,0.09522863529855385,10,0.184932290983852,0.18864914040314032
64,nan,5,"0,1",0,id_n_sweep,0,cem_aif,0.3656821607029997,0.365625488513615,0.36739575623068954,0.18296392302727327,0.18369208581279964,False,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cem_aif/K64,0.18249250599183142,0.18337955292081462,10,0.3665171494940296,0.3683034821064211
128,nan,5,"0,1",0,id_n_sweep,0,cem_aif,0.7340376175940037,0.730942459020298,0.7375657779164613,0.36540520697599277,0.3700681672315113,False,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cem_aif/K128,0.3650286549818702,0.3669556272798218,10,0.7326927150133997,0.7389608882833272
256,nan,5,"0,1",0,id_n_sweep,0,cem_aif,1.4666356630856172,1.462161194998771,1.498050351254642,0.7308565130806528,0.7349298852961511,False,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cem_aif/K256,0.7302099609514698,0.7352668695966713,10,1.4656634755665436,1.5017085887258872
1,nan,5,"0,1",0,id_n_sweep,0,bc_mdn_aif,0.003439503605477512,0.003375034488271922,0.003537879942450672,0.00031028653029352427,0.00045329963322728853,False,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/bc_mdn_aif/K1,0.002987611514981836,0.0030117961927317084,10,0.003827600972726941,0.003986912919208407
