budget_ms,calibrated_K,episode_rows,experiment,failure_count,model,reused,run_dir,step_rows
50,16,18,heldout_start_goal,0,bc_mdn_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/bc_mdn_aif_K16,548
100,32,18,heldout_start_goal,0,bc_mdn_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_100ms/bc_mdn_aif_K32,601
250,64,18,heldout_start_goal,0,bc_mdn_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_250ms/bc_mdn_aif_K64,622
500,128,18,heldout_start_goal,0,bc_mdn_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_500ms/bc_mdn_aif_K128,549
1000,256,18,heldout_start_goal,0,bc_mdn_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_1000ms/bc_mdn_aif_K256,593
50,8,18,heldout_start_goal,0,cem_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/cem_aif_K8,1612
100,16,18,heldout_start_goal,0,cem_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_100ms/cem_aif_K16,1541
250,32,18,heldout_start_goal,0,cem_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_250ms/cem_aif_K32,1442
500,64,18,heldout_start_goal,0,cem_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_500ms/cem_aif_K64,1484
1000,128,18,heldout_start_goal,0,cem_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_1000ms/cem_aif_K128,1410
50,16,18,heldout_start_goal,0,cvae_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/cvae_aif_K16,622
100,32,18,heldout_start_goal,0,cvae_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_100ms/cvae_aif_K32,611
250,64,18,heldout_start_goal,0,cvae_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_250ms/cvae_aif_K64,605
500,128,18,heldout_start_goal,0,cvae_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_500ms/cvae_aif_K128,604
1000,256,18,heldout_start_goal,0,cvae_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_1000ms/cvae_aif_K256,610
50,1,18,heldout_start_goal,0,diffusion_policy_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/diffusion_policy_aif_K1,1248
100,1,18,heldout_start_goal,0,diffusion_policy_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_100ms/diffusion_policy_aif_K1,1248
250,4,18,heldout_start_goal,0,diffusion_policy_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_250ms/diffusion_policy_aif_K4,969
500,8,18,heldout_start_goal,0,diffusion_policy_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_500ms/diffusion_policy_aif_K8,963
1000,16,18,heldout_start_goal,0,diffusion_policy_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_1000ms/diffusion_policy_aif_K16,749
50,8,18,heldout_start_goal,0,flow_matching_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/flow_matching_aif_K8,719
100,16,18,heldout_start_goal,0,flow_matching_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_100ms/flow_matching_aif_K16,728
250,64,18,heldout_start_goal,0,flow_matching_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_250ms/flow_matching_aif_K64,637
500,128,18,heldout_start_goal,0,flow_matching_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_500ms/flow_matching_aif_K128,657
1000,256,18,heldout_start_goal,0,flow_matching_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_1000ms/flow_matching_aif_K256,605
50,2,18,heldout_start_goal,0,transformer_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/transformer_aif_K2,683
100,4,18,heldout_start_goal,0,transformer_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_100ms/transformer_aif_K4,747
