budget_ms,budget_violation_rate,calibrated_K,collision_rate,episode_length_mean,episodes,experiment,fall_out_rate,final_distance_mean,model,planning_mean_sec,planning_p50_sec,planning_p90_sec,proposal_p50_sec,proposal_p90_sec,scoring_p50_sec,scoring_p90_sec,step_count,steps,success_rate,timeout_rate,variant,wall_p50_sec,wall_p90_sec
100,0.003244646333549643,16,0.05555555555555555,85.61111111111111,18,heldout_start_goal,0.0,0.6555937863886356,cem_aif,0.08858591114830511,0.09087241906672716,0.09214464598335326,0.04539529304020107,0.04603416007012129,0.04532036103773862,0.045964558026753366,1541,1541,0.1111111111111111,0.8333333333333334,aif_cem_equal_wall_clock,0.09146163193508983,0.0927343899384141
1000,0.0,128,0.05555555555555555,78.33333333333333,18,heldout_start_goal,0.0,0.3906395828558339,cem_aif,0.711099006275643,0.7333500235108659,0.7399788867216557,0.3661745020071976,0.3689313363633119,0.36612794757820666,0.36883494785288345,1410,1410,0.2777777777777778,0.6666666666666666,aif_cem_equal_wall_clock,0.7348608959582634,0.7414780725724995
250,0.0,32,0.1111111111111111,80.11111111111111,18,heldout_start_goal,0.0,0.5439874480168024,cem_aif,0.1771229717652985,0.1809325950453058,0.18461289034457876,0.09033414098666981,0.09218862863490357,0.09029395953984931,0.0921877163113095,1442,1442,0.2222222222222222,0.6666666666666666,aif_cem_equal_wall_clock,0.18163174198707566,0.18533333813538777
50,0.0,8,0.05555555555555555,89.55555555555556,18,heldout_start_goal,0.0,0.7369571104645729,cem_aif,0.044395257671775004,0.045422406983561814,0.04630395780550316,0.022683703457005322,0.023123148002196104,0.02262771298410371,0.02306935463566333,1612,1612,0.0,0.9444444444444444,aif_cem_equal_wall_clock,0.045938937983009964,0.04683520790422335
500,0.0,64,0.05555555555555555,82.44444444444444,18,heldout_start_goal,0.0,0.494557054920329,cem_aif,0.3539705601283299,0.36436951701762155,0.3679865570855327,0.1818754950654693,0.1837429626844823,0.1819521964644082,0.18378416911000384,1484,1484,0.16666666666666666,0.7777777777777778,aif_cem_equal_wall_clock,0.36530435999156907,0.3689788980293087
100,0.0016638935108153079,32,0.05555555555555555,33.388888888888886,18,heldout_start_goal,0.05555555555555555,0.16170302198992836,bc_mdn_aif,0.0878475012182926,0.09491087798960507,0.09562314301729202,0.00043470202945172787,0.0004408939275890589,0.09439024410676211,0.09510424302425236,601,601,0.8888888888888888,0.0,generator_aif_score_equal_wall_clock,0.09570507798343897,0.09641803696285933
1000,0.0,256,0.0,32.94444444444444,18,heldout_start_goal,0.0,0.08749688789248466,bc_mdn_aif,0.70431329593126,0.7563701249891892,0.7635035154409706,0.001262836973182857,0.001448605861514807,0.7549496340798214,0.7620676900492982,593,593,1.0,0.0,generator_aif_score_equal_wall_clock,0.7590701789595187,0.7670183659531176
250,0.0,64,0.05555555555555555,34.55555555555556,18,heldout_start_goal,0.0,0.1838357150554657,bc_mdn_aif,0.1751354154653419,0.18922233645571396,0.19050685786642135,0.0005457369843497872,0.0006439231801778077,0.18854616943281144,0.18985872343182564,622,622,0.8888888888888888,0.05555555555555555,generator_aif_score_equal_wall_clock,0.19025535049149767,0.19157368317246437
50,0.0018248175182481751,16,0.1111111111111111,30.444444444444443,18,heldout_start_goal,0.0,0.1946501893301805,bc_mdn_aif,0.04409752881054998,0.04763309704139829,0.04794504293240607,0.0003763164859265089,0.000382012955378741,0.04716896003810689,0.0474885216448456,548,548,0.8888888888888888,0.0,generator_aif_score_equal_wall_clock,0.04829398595029488,0.048608288040850316
500,0.0,128,0.1111111111111111,30.5,18,heldout_start_goal,0.0,0.17959019872877333,bc_mdn_aif,0.3513419390072917,0.3775716880336404,0.3815079075982794,0.0007685630116611719,0.000911858445033431,0.37670504895504564,0.3805499177891761,549,549,0.8888888888888888,0.0,generator_aif_score_equal_wall_clock,0.3790807209443301,0.3830252228071913
