model,observation,available_blocks,mean_p_plus15,ci95_low,ci95_high
diffusion,0,12,0.3333333333333333,0.3333333333333333,0.3333333333333333
diffusion,1,12,0.002202272204729611,0.0018539492635614887,0.002555202245848949
diffusion,2,12,0.00046719663786718633,0.00037010029658663204,0.0005715065655834517
diffusion,3,12,0.0031303028003698582,0.0026387598281412527,0.0036956928247309415
diffusion,4,12,0.0069784306363005885,0.005598022805529183,0.00849254873709922
diffusion,5,12,0.014609472127348977,0.012733989012879934,0.016719414912544018
diffusion,6,12,0.02429435799841567,0.020460120529334762,0.028332346422337496
diffusion,7,12,0.03182999936112593,0.025862414239977417,0.03818957513097308
diffusion,8,12,0.03942517549673027,0.030828038750693086,0.048342448121338054
diffusion,9,12,0.04678806740166186,0.035183980497000396,0.05860038126258262
diffusion,10,12,0.053576496618823626,0.038572155520064356,0.06865428173551877
diffusion,11,12,0.4585609635646101,0.37067787705523025,0.5569589837565821
diffusion,12,12,0.7059168698567446,0.5855734753271586,0.8250142553521043
diffusion,13,12,0.8827458391574853,0.8034293192306632,0.9519701714684053
diffusion,14,12,0.9952009383123891,0.989576942828682,0.9990994370254257
diffusion,15,12,0.9999109695079436,0.9998061846608923,0.9999910022373851
diffusion,16,12,0.9999742039188396,0.9999334876236299,0.999999641358191
diffusion,17,12,0.999996337445582,0.99999012277301,0.9999999962752366
diffusion,18,12,0.4978355863001551,0.24774196818640093,0.7500934277937823
diffusion,19,12,4.004299756227991e-11,5.1332162169465064e-64,1.2012899268353934e-10
diffusion,20,12,1.4048855699788103e-21,1.756407535695849e-33,4.0208009307827635e-21
diffusion,21,12,2.2950725449517367e-08,7.653529992589637e-12,6.372860098232705e-08
diffusion,22,12,0.31917220970090704,0.08401251175286084,0.5831526361322459
diffusion,23,12,0.6655028839975468,0.4153102769819449,0.9145351699391908
diffusion,24,12,0.666670992701467,0.4166709926989841,0.9166679232061102
diffusion,25,12,0.6666091691816698,0.4166023033141437,0.9166022803019238
diffusion,26,12,0.1659968421031047,0.0003823286161187198,0.4120223768614487
diffusion,27,12,0.0834706085950499,4.978714180779145e-05,0.24901407814921556
diffusion,28,12,0.23205704206569058,0.044027181815838375,0.45873664207447196
diffusion,29,12,0.2740439120888063,0.06778515376687515,0.522992734437761
diffusion,30,12,0.3628982844300124,0.12277892298165671,0.6324802638643071
autoregressive,0,12,0.3333333333333333,0.3333333333333333,0.3333333333333333
autoregressive,1,12,0.21519240750092616,0.1619968052555729,0.2673495970268308
autoregressive,2,12,0.19942797969123205,0.15834766296302105,0.23843275032716177
autoregressive,3,12,0.14410584005497476,0.11622844808314023,0.17106627863061827
autoregressive,4,12,0.11103323353815735,0.09087858143674256,0.13139890375603006
autoregressive,5,12,0.10435285514473037,0.08565088184630068,0.12436450559738549
autoregressive,6,12,0.1067234242211959,0.08990569808743895,0.1251195415269236
autoregressive,7,12,0.1131818714120129,0.09520176508718058,0.13225025349738925
autoregressive,8,12,0.11984007233667406,0.09936445929421293,0.1411984010862467
autoregressive,9,12,0.12632545680917717,0.10265435615083669,0.15062164361363478
autoregressive,10,12,0.13236873539376412,0.10519099885352311,0.1600169927002088
autoregressive,11,12,0.24375451237129184,0.21647403769862,0.2705881162790582
autoregressive,12,12,0.3474657658067293,0.31167478351602845,0.3809406348336371
autoregressive,13,12,0.4885789061800528,0.4343159667664178,0.5362298913270769
autoregressive,14,12,0.732145894030834,0.6423597528573475,0.8053355543939572
autoregressive,15,12,0.9040552435243546,0.8169868993520595,0.9682642354366621
autoregressive,16,12,0.9551462581512107,0.8920033843886979,0.9963965020464769
autoregressive,17,12,0.9767579897501447,0.9389312096271899,0.9994505356555897
autoregressive,18,12,0.6629493592888249,0.4355244383543224,0.879095221515964
autoregressive,19,12,0.1434932241537676,3.7167596150651386e-07,0.34729984499488936
autoregressive,20,12,0.30342580118652046,0.07202739025874531,0.5518188617394212
autoregressive,21,12,0.5708221681328157,0.3209202250970944,0.820637326053281
autoregressive,22,12,0.48162756872777246,0.23314355594090103,0.7447079246776954
autoregressive,23,12,0.5839823595587266,0.33226517087369145,0.8338287667224006
autoregressive,24,12,0.5915351828146597,0.3329268505486817,0.8414873372756679
autoregressive,25,12,0.5303324255256969,0.26441262781920577,0.780751389490592
autoregressive,26,12,0.4091687386329244,0.17147986472887708,0.6668722490359856
autoregressive,27,12,0.3669939441665424,0.12062787451342108,0.6164761895045885
autoregressive,28,12,0.45226827577945405,0.2274177411389707,0.6903625636907065
autoregressive,29,12,0.4709455594989122,0.256214495074427,0.6921725758557106
autoregressive,30,12,0.5455902789219279,0.3350158947211527,0.7558818076247975
cvae,0,12,0.3333333333333333,0.3333333333333333,0.3333333333333333
cvae,1,12,0.0015062639454949624,0.0012969659771849748,0.001719430907502005
cvae,2,12,0.0008720431870182754,0.0006228327422623262,0.001150338301585061
cvae,3,12,0.004338371413879422,0.003593966650568503,0.005119144719679235
cvae,4,12,0.006395359014243595,0.004561194226350536,0.008441199376760793
cvae,5,12,0.011339535483893236,0.009235650843027302,0.013638897348400273
cvae,6,12,0.023668482717602676,0.020306634120300118,0.02709793177443856
cvae,7,12,0.03681285120779773,0.030507406222691335,0.04318244786923588
cvae,8,12,0.04872753621131596,0.03931943632558746,0.05820512008219386
cvae,9,12,0.058855322324867794,0.045933588044988274,0.07179473440450994
cvae,10,12,0.06705908214638664,0.051123448665205996,0.08307767084580576
cvae,11,12,0.3463879281501014,0.28201287901198674,0.422194349814946
cvae,12,12,0.4105997352504575,0.30990114461209095,0.5222949996091096
cvae,13,12,0.5578062385633188,0.4027749057624115,0.6959573902932911
cvae,14,12,0.8302190999123701,0.6152915728045426,0.9808399399732455
cvae,15,12,0.8911550913045995,0.7061527773974853,0.9999679728663102
cvae,16,12,0.9069404126884436,0.7356890353820924,0.999998815809686
cvae,17,12,0.9176443187490113,0.7564796668791821,0.9999999818461445
cvae,18,12,0.4685096567238165,0.21492282800438145,0.7385819164888292
cvae,19,12,2.693510769934785e-05,6.240076086363772e-42,8.080532309389423e-05
cvae,20,12,0.251338532996956,0.002677317062062362,0.5013383473859635
cvae,21,12,0.5000139674475247,0.25,0.7500139674475248
cvae,22,12,0.4159876082442758,0.16628722257570458,0.6662812763690925
cvae,23,12,0.4999999999982323,0.2499999999982323,0.7499999999999999
cvae,24,12,0.5000000000041368,0.2500000000000027,0.7500000000041368
cvae,25,12,0.3333333336866143,0.08333333368661432,0.5833333336866228
