model,trial_id,source_episode_id,switched,observation,p_minus15,p_flat,p_plus15
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,1,0.002498151632554377,0.9957998256763949,0.0017020226910506836
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,2,0.000731844108815553,0.9989843513307669,0.0002838045604175134
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,3,0.007600495059173343,0.9902255759387825,0.00217392900204412
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,4,0.014899333589526574,0.9800036271589148,0.005097039251558635
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,5,0.022275938682216077,0.9644231638729307,0.013300897444853183
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,6,0.029876399096161937,0.9492647661988749,0.020858834704963275
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,7,0.03686568941046929,0.9348687378970946,0.028265572692436083
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,8,0.040280671442332584,0.9202000793533136,0.039519249204353755
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,9,0.04114406091354761,0.9052674658868152,0.053588473199637145
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,10,0.04075438007809331,0.8900541220649453,0.06919149785696146
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,11,0.04056797904807637,0.8749918427389649,0.0844401782129588
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,12,0.04147397364126931,0.8601393888814964,0.09838663747723433
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,13,0.043782099033623637,0.8458913822880183,0.11032651867835809
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,14,0.04749062247448704,0.8340577141172604,0.11845166340825258
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,15,0.05302100560812685,0.8265643882014343,0.1204146061904388
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,16,0.06053755346990486,0.8249842844788549,0.11447816205124042
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,17,0.06932406313296985,0.8298965754573685,0.1007793614096617
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,18,0.07839387251263769,0.8402911852966579,0.08131494219070448
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,19,0.08522585373972874,0.8550832072871498,0.059690938973121443
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,20,0.08712531017389667,0.8720999032592734,0.04077478656682992
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,21,0.08340166049109526,0.8895720648600765,0.02702627464882827
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,22,0.07583097477301425,0.9057369593127294,0.01843206591425649
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,23,0.06850838286502667,0.9183459488900108,0.013145668244962515
diffusion,test_c1_side-1_episode10200_no_switch,10200,False,24,0.06394569973607611,0.9265981482383762,0.009456152025547776
