panel,parent,step,board_x,board_y,world_x,world_y,world_z,terminal
left,30000,0,-3.1914807653209885e-18,-0.6499999761581421,0.047810446503314306,-0.6244809868398493,-0.17843101548292278,False
left,30000,1,-0.001493087038397789,-0.6404464840888977,0.04595420641554953,-0.614896581223641,-0.17727227847504515,False
left,30000,2,-0.004648447968065739,-0.6244263648986816,0.041959453972344074,-0.599179983507059,-0.17455503752471846,False
left,30000,3,-0.009188201278448105,-0.6067135334014893,0.03624612131203369,-0.5821982753995896,-0.17077284907093115,False
left,30000,4,-0.015105384401977062,-0.5883457660675049,0.028992580936862265,-0.5648145478767883,-0.16656450695871677,False
left,30000,5,-0.02237158641219139,-0.56944739818573,0.02032250402505681,-0.5470257118779941,-0.16228179255423705,False
left,30000,6,-0.030958035960793495,-0.5500106811523438,0.010307615783151057,-0.5287617953602144,-0.15808121196015765,False
left,30000,7,-0.04085829481482506,-0.5300443768501282,-0.001027625758135941,-0.5100064801086146,-0.15402918352591435,False
left,30000,8,-0.05207882449030876,-0.5095703601837158,-0.01368232638465497,-0.4907730053653889,-0.15015399277635166,False
left,30000,9,-0.06462222337722778,-0.48860442638397217,-0.02765695103635564,-0.4710752423310218,-0.14646395831171216,False
left,30000,10,-0.0784740224480629,-0.467144638299942,-0.04293843503437516,-0.4509124848049333,-0.1429519207432819,False
left,30000,11,-0.09359406679868698,-0.4451671242713928,-0.059491167070175904,-0.4302637630842871,-0.13959565426579484,False
left,30000,12,-0.10991131514310837,-0.4226260483264923,-0.07725161637203745,-0.4090874753376715,-0.13635776128221816,False
left,30000,13,-0.12732070684432983,-0.399456650018692,-0.09612497502674269,-0.38732409171343457,-0.13318613041894037,False
left,30000,14,-0.1456812173128128,-0.3755802810192108,-0.11598283313975756,-0.36490085030805447,-0.1300151731614562,False
left,30000,15,-0.16481484472751617,-0.35091114044189453,-0.13666153316682453,-0.3417381347946351,-0.12676787683231866,False
left,30000,16,-0.18450646102428436,-0.325364887714386,-0.15796127199378646,-0.3177574183858621,-0.12335872965741912,False
left,30000,17,-0.20450522005558014,-0.298868864774704,-0.1796464870902745,-0.29289085459532876,-0.1196976519204948,False
left,30000,18,-0.22452829778194427,-0.27137401700019836,-0.20144838989816652,-0.2670923924438601,-0.11569510353178258,False
left,30000,19,-0.24426817893981934,-0.2428678423166275,-0.22307074129048352,-0.24034990750144242,-0.11126845060084507,False
left,30000,20,-0.2634042501449585,-0.21338731050491333,-0.24419991482382702,-0.21269718072586116,-0.10634943436765286,False
left,30000,21,-0.2816193699836731,-0.18302945792675018,-0.2645198371605916,-0.18422380790889828,-0.10089217097731192,False
left,30000,22,-0.29862022399902344,-0.1519569307565689,-0.2837312463874362,-0.15508037827321086,-0.09488052887096682,False
left,30000,23,-0.3141593337059021,-0.12039551883935928,-0.30157289064570425,-0.12547601135076153,-0.08833312460228578,False
left,30000,24,-0.32805323600769043,-0.08862124383449554,-0.3178404027020419,-0.09566623671978931,-0.08130386706241144,False
left,30000,25,-0.34019190073013306,-0.056937117129564285,-0.3323974599530824,-0.06593127971955949,-0.0738763655178741,False
left,30000,26,-0.3505350947380066,-0.025642968714237213,-0.34517527890542005,-0.03654809140990106,-0.06615198045199124,False
left,30000,27,-0.3590969145298004,0.004995157476514578,-0.3561608050593517,-0.007762356046905591,-0.05823370320866121,False
left,30000,28,-0.36592409014701843,0.034768711775541306,-0.36537871124639787,0.02023284332251202,-0.050210212301558955,False
left,30000,29,-0.37107640504837036,0.06353873014450073,-0.37287391302828404,0.047307634753078705,-0.0421447609381141,False
left,30000,30,-0.3746134638786316,0.09123571962118149,-0.37869898316958245,0.07339509663400741,-0.034071438939252824,False
left,30000,31,-0.3765886723995209,0.11785028874874115,-0.38290709286964075,0.09848300658863947,-0.025998157120769257,False
left,30000,32,-0.37704822421073914,0.14341892302036285,-0.3855491321191007,0.12260138744477997,-0.017913533929736623,False
left,30000,33,-0.3760329484939575,0.16800878942012787,-0.386673476242457,0.145809120847303,-0.0097946494537702,False
left,30000,34,-0.3735812306404114,0.19170428812503815,-0.38632734911644834,0.16818179984963427,-0.0016137009282037908,False
left,30000,35,-0.3697323501110077,0.21459655463695526,-0.3845588928827173,0.1898020450973124,0.006657185093806478,False
left,30000,36,-0.3645293712615967,0.23677612841129303,-0.38141931535297807,0.21075264444132213,0.015042932546009228,False
left,30000,37,-0.35802125930786133,0.2583286166191101,-0.3769648045254726,0.2311122499634051,0.02356387408310633,False
left,30000,38,-0.3502645194530487,0.2793325185775757,-0.37125786412760536,0.2509532441367005,0.03223507674271851,False
left,30000,39,-0.34132394194602966,0.2998587489128113,-0.36436820750606247,0.2703410647774373,0.04106626540410761,False
left,30000,40,-0.33127301931381226,0.319970965385437,-0.3563731500281409,0.28933454227744315,0.05006209598480517,False
left,30000,41,-0.3201938271522522,0.3397265672683716,-0.3473576780608736,0.30798674801179804,0.05922260792748877,False
left,30000,42,-0.30817675590515137,0.3591778576374054,-0.33741428740450735,0.3263460519094995,0.06854373619203119,False
left,30000,43,-0.2953200042247772,0.37837326526641846,-0.3266425723458737,0.344457284393452,0.07801784897368698,False
left,30000,44,-0.28172892332077026,0.39735838770866394,-0.315148770720842,0.36236277511994797,0.08763425539313856,False
left,30000,45,-0.26751548051834106,0.4161771833896637,-0.3030452155651423,0.3801033155650015,0.09737967396066331,False
left,30000,46,-0.25279754400253296,0.4348726272583008,-0.2904497743469965,0.3977190006215747,0.10723865872421257,False
left,30000,47,-0.23769822716712952,0.4534875750541687,-0.2774853362897717,0.4152499217723128,0.11719396369230999,False
left,30000,48,-0.2223455309867859,0.4720652997493744,-0.2642793625643417,0.43273672294578475,0.12722683813364918,False
left,30000,49,-0.2068718671798706,0.49064990878105164,-0.25096355097137024,0.4502209674760864,0.13731723257540823,False
left,30000,50,-0.1914137899875641,0.5092864632606506,-0.23767361478841967,0.4677452856467048,0.14744389775085018,False
left,30000,51,-0.17611198127269745,0.5280207991600037,-0.2245491452440116,0.48535327649903903,0.1575843701511519,False
left,30000,52,-0.16111113131046295,0.5468992590904236,-0.21173357324594047,0.5030890314227378,0.16771481918083903,False
left,30000,53,-0.14656001329421997,0.5659676194190979,-0.1993740727495065,0.5209963375152274,0.17780978102811054,False
left,30000,54,-0.13261127471923828,0.5852697491645813,-0.18762135166356733,0.5391174643411905,0.1878417995546936,False
left,30000,55,-0.11942122131586075,0.6048462390899658,-0.1766292053390486,0.5574915172343704,0.19778100702001386,False
left,30000,56,-0.1071489229798317,0.6247321963310242,-0.16655357711817625,0.5761526119441747,0.20759476176030484,False
left,30000,57,-0.09595483541488647,0.6449552178382874,-0.15755103687756036,0.5951279814724872,0.21724745304513998,False
left,30000,58,-0.08599868416786194,0.6655337810516357,-0.14977662252609505,0.6144362061303628,0.22670057141005295,False
left,30000,59,-0.07743658125400543,0.686475932598114,-0.1433809916902258,0.6340859827390712,0.23591317523862856,False
left,30000,60,-0.0707894042134285,0.7043037414550781,-0.13876451965654046,0.6505207343749219,0.2443669950928199,False
left,30000,61,-0.06652472168207169,0.7178321480751038,-0.13621040210859361,0.6627162203058942,0.25131235221689857,False
left,30000,62,-0.06303529441356659,0.7300046682357788,-0.1341670022264118,0.6738036169326957,0.25716839935925784,False
left,30000,63,-0.059662897139787674,0.7414898872375488,-0.13207459747495048,0.6843875174433974,0.26238937492991493,False
left,30000,64,-0.056186873465776443,0.7523421049118042,-0.12977091080027522,0.6944541334990479,0.2672222167145163,False
left,30000,65,-0.05253107473254204,0.7625007629394531,-0.12720512450241794,0.7039070761178262,0.2717715049891502,False
left,30000,66,-0.048664748668670654,0.771918535232544,-0.12435637034449605,0.7126835950328433,0.2760781480114424,False
left,30000,67,-0.04457816854119301,0.7805846333503723,-0.12121988383479729,0.7207655903515328,0.28016194437407554,False
left,30000,68,-0.040278032422065735,0.7885236144065857,-0.11780695723471372,0.7281724235901916,0.28403917713705923,False
left,30000,69,-0.03578714653849602,0.795788586139679,-0.11414598142446691,0.7349517896736318,0.2877276878402714,False
left,30000,70,-0.031144263222813606,0.802452802658081,-0.1102821788887222,0.74117058815044,0.29124650176987327,False
left,30000,71,-0.02640259638428688,0.8086001873016357,-0.1062754688288293,0.746906144246263,0.29461365327102934,False
left,30000,72,-0.021626468747854233,0.8143168687820435,-0.10219644457518977,0.7522382405190353,0.29784406619777337,False
left,30000,73,-0.016886038705706596,0.8196843862533569,-0.09812059872485511,0.7572427923485395,0.30094841384529214,True
