model,group,successes,episodes,success_percent,ci95_low_percent,ci95_high_percent
diffusion,zero_lateral_correct,30,30,100.0,100.0,100.0
diffusion,all_correct,81,90,90.0,83.33333333333334,95.55555555555556
diffusion,all_wrong,9,90,10.0,4.444444444444445,15.555555555555555
autoregressive,zero_lateral_correct,2,30,6.666666666666667,0.0,16.666666666666664
autoregressive,all_correct,2,90,2.2222222222222223,0.0,5.555555555555555
autoregressive,all_wrong,0,90,0.0,0.0,0.0
cvae,zero_lateral_correct,25,30,83.33333333333334,70.0,96.66666666666667
cvae,all_correct,49,90,54.44444444444444,45.55555555555556,64.44444444444444
cvae,all_wrong,1,90,1.1111111111111112,0.0,3.3333333333333335
flow_matching,zero_lateral_correct,15,30,50.0,30.0,70.0
flow_matching,all_correct,43,90,47.77777777777778,34.44444444444444,61.111111111111114
flow_matching,all_wrong,9,90,10.0,4.444444444444445,16.666666666666664
