model,arm,case,trial_seed,lateral_tilt_degrees,success,terminal,source
diffusion,correct,0,101,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_00_rng101/episode_summary.json
diffusion,correct,0,102,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_00_rng102/episode_summary.json
diffusion,correct,0,103,-15,0,collision,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_00_rng103/episode_summary.json
diffusion,correct,0,104,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_00_rng104/episode_summary.json
diffusion,correct,0,105,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_00_rng105/episode_summary.json
diffusion,correct,0,106,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_00_rng106/episode_summary.json
diffusion,correct,0,107,-15,0,collision,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_00_rng107/episode_summary.json
diffusion,correct,0,108,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_00_rng108/episode_summary.json
diffusion,correct,0,109,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_00_rng109/episode_summary.json
diffusion,correct,0,110,-15,0,collision,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_00_rng110/episode_summary.json
diffusion,correct,1,101,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_01_rng101/episode_summary.json
diffusion,correct,1,102,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_01_rng102/episode_summary.json
diffusion,correct,1,103,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_01_rng103/episode_summary.json
diffusion,correct,1,104,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_01_rng104/episode_summary.json
diffusion,correct,1,105,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_01_rng105/episode_summary.json
diffusion,correct,1,106,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_01_rng106/episode_summary.json
diffusion,correct,1,107,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_01_rng107/episode_summary.json
diffusion,correct,1,108,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_01_rng108/episode_summary.json
diffusion,correct,1,109,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_01_rng109/episode_summary.json
diffusion,correct,1,110,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_01_rng110/episode_summary.json
diffusion,correct,2,101,15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_02_rng101/episode_summary.json
diffusion,correct,2,102,15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_02_rng102/episode_summary.json
diffusion,correct,2,103,15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_02_rng103/episode_summary.json
diffusion,correct,2,104,15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_02_rng104/episode_summary.json
diffusion,correct,2,105,15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_02_rng105/episode_summary.json
