model,reference_trajectory,anchor,branch,prediction_step,valid,predicted_mean_x_m,predicted_mean_y_m,actual_x_m,actual_y_m,euclidean_error_mm
diffusion,test_c00_side-1,0,0,1,1,-0.0017233528342330828,-0.6396555565297604,-0.0015161024639382958,-0.6398420929908752,0.27883430081787053
diffusion,test_c00_side-1,0,0,2,1,-0.005207978290854953,-0.6214813012629747,-0.004711097571998835,-0.6223680973052979,1.0165125033421423
diffusion,test_c00_side-1,0,0,3,1,-0.0097786886326503,-0.6023601498454809,-0.00936105940490961,-0.6029715538024902,0.7404248581118371
diffusion,test_c00_side-1,0,0,4,1,-0.015859655279200524,-0.5819963701069355,-0.015633048489689827,-0.5831942558288574,1.2191311823740492
diffusion,test_c00_side-1,0,0,5,1,-0.023662080464418977,-0.5618247110396624,-0.023651158437132835,-0.5632715821266174,1.4469123100404482
diffusion,test_c00_side-1,0,0,6,1,-0.03386071301065385,-0.5413563214242458,-0.03349662199616432,-0.54317307472229,1.8528774413831346
diffusion,test_c00_side-1,0,1,1,1,-0.0017659996046859305,-0.6417408641427755,-0.0016978498315438628,-0.6417992115020752,0.08971513761099006
diffusion,test_c00_side-1,0,1,2,1,-0.005938397123827599,-0.6268978416919708,-0.00559473130851984,-0.6276202201843262,0.7999605482951833
diffusion,test_c00_side-1,0,1,3,1,-0.011769612407078966,-0.610987601801753,-0.011435610242187977,-0.6116132736206055,0.709240911861385
diffusion,test_c00_side-1,0,1,4,1,-0.019550261145923287,-0.5942426100373268,-0.01928148791193962,-0.5951224565505981,0.9199831184438974
diffusion,test_c00_side-1,0,1,5,1,-0.02939097082708031,-0.5775636229664087,-0.02920333668589592,-0.5784332156181335,0.8896055029459965
diffusion,test_c00_side-1,0,1,6,1,-0.04195189196616411,-0.5605063736438751,-0.041253913193941116,-0.5615653991699219,1.2683490967760107
diffusion,test_c00_side-1,0,2,1,1,-0.001820944820792647,-0.6438063438981771,-0.0018481879960745573,-0.6437460780143738,0.06613748823505389
diffusion,test_c00_side-1,0,2,2,1,-0.006358073951560073,-0.632333567366004,-0.006343535613268614,-0.6329518556594849,0.6184591960151996
diffusion,test_c00_side-1,0,2,3,1,-0.013191298552555963,-0.6200857553631067,-0.013249182142317295,-0.6205974817276001,0.5149896912378534
diffusion,test_c00_side-1,0,2,4,1,-0.022343300108332187,-0.6074226386845112,-0.022552885115146637,-0.6077554225921631,0.3932823467605458
diffusion,test_c00_side-1,0,2,5,1,-0.03398471255786717,-0.594530837610364,-0.03427742421627045,-0.5947014689445496,0.3388143550252187
diffusion,test_c00_side-1,0,2,6,1,-0.04864309367258102,-0.5811131820082664,-0.04844634607434273,-0.5814793109893799,0.41564413652028886
diffusion,test_c00_side-1,0,3,1,1,-0.001650432423048187,-0.6380860134959221,-0.0013586778659373522,-0.6383683085441589,0.40596947650529486
diffusion,test_c00_side-1,0,3,2,1,-0.004409135988680646,-0.6175083667039871,-0.003961679991334677,-0.618491530418396,1.0801980183703037
diffusion,test_c00_side-1,0,3,3,1,-0.007929117331514135,-0.5962770916521549,-0.007649966981261969,-0.596743643283844,0.543686806054407
diffusion,test_c00_side-1,0,3,4,1,-0.012596089334692806,-0.5736621674150229,-0.012689036317169666,-0.5747571587562561,1.098929105505607
diffusion,test_c00_side-1,0,3,5,1,-0.018752438598312438,-0.5511445123702288,-0.019239740446209908,-0.5526876449584961,1.6182463582337847
diffusion,test_c00_side-1,0,3,6,1,-0.027157626522239298,-0.5283411033451557,-0.02740030363202095,-0.5304481387138367,2.1209644562048795
diffusion,test_c00_side-1,0,4,1,1,-0.0015661445249861572,-0.6433794759213924,-0.0016147458227351308,-0.6432256698608398,0.16130217111246065
diffusion,test_c00_side-1,0,4,2,1,-0.005231062532402575,-0.6308450568467379,-0.005168473813682795,-0.6312015652656555,0.36196077200457877
diffusion,test_c00_side-1,0,4,3,1,-0.01005681001697667,-0.6165602579712868,-0.010032185353338718,-0.6165514588356018,0.02614954776061505
diffusion,test_c00_side-1,0,4,4,1,-0.015524741291301325,-0.5999293755739927,-0.01564542017877102,-0.5999652743339539,0.12590518197306166
diffusion,test_c00_side-1,0,4,5,1,-0.02107570308726281,-0.5818948838859797,-0.021421460434794426,-0.5816659927368164,0.4146556421144786
diffusion,test_c00_side-1,0,4,6,1,-0.026462285371962935,-0.5623414609581232,-0.02677328512072563,-0.5618361234664917,0.5933690455179517
diffusion,test_c00_side-1,0,5,1,1,-0.001557606054120697,-0.6368407681584358,-0.001175050507299602,-0.6363781094551086,0.6003347584206445
diffusion,test_c00_side-1,0,5,2,1,-0.003141534049063921,-0.6119059845805168,-0.0029584108851850033,-0.6119391918182373,0.1861096821394579
diffusion,test_c00_side-1,0,5,3,1,-0.0048854073393158615,-0.5839213188737631,-0.0046365209855139256,-0.5832792520523071,0.6886176154611325
diffusion,test_c00_side-1,0,5,4,1,-0.0063514010107610375,-0.5527077876031399,-0.005837651435285807,-0.5524625182151794,0.5692940356015209
diffusion,test_c00_side-1,0,5,5,1,-0.007293508795555681,-0.5204062703996897,-0.006221472751349211,-0.5202674865722656,1.0809820677663091
diffusion,test_c00_side-1,0,5,6,1,-0.00634947614162229,-0.4858108516782522,-0.005479963030666113,-0.48716217279434204,1.6068981949441998
diffusion,test_c00_side-1,0,6,1,1,-0.0027825075303553604,-0.6432032566517591,-0.0029331156983971596,-0.6430191993713379,0.23782325949531527
diffusion,test_c00_side-1,0,6,2,1,-0.010439589677844197,-0.6329541597515345,-0.011155318468809128,-0.6333712339401245,0.8283831124571353
diffusion,test_c00_side-1,0,6,3,1,-0.022221608029212803,-0.6286715473979712,-0.023549485951662064,-0.6273353099822998,1.8838232953141358
diffusion,test_c00_side-1,0,6,4,1,-0.03716720512602478,-0.6305883843451738,-0.037814605981111526,-0.6284502148628235,2.234031468538751
diffusion,test_c00_side-1,0,6,5,1,-0.05529141379520297,-0.6410092562437057,-0.05079599469900131,-0.6387636661529541,5.025083850661253
diffusion,test_c00_side-1,0,6,6,1,-0.07745829108171165,-0.6578825004398823,-0.061183180660009384,-0.6582145094871521,16.278496529043178
diffusion,test_c00_side-1,0,7,1,1,-0.0043053365079686046,-0.6374223679304123,-0.0034923432394862175,-0.6368842720985413,0.9749385513326743
diffusion,test_c00_side-1,0,7,2,1,-0.015311680093873292,-0.6131775211542845,-0.014014375396072865,-0.6148451566696167,2.1128198434633334
diffusion,test_c00_side-1,0,7,3,1,-0.03062415332533419,-0.5937134698033333,-0.030712127685546875,-0.5934271812438965,0.2995006299145765
diffusion,test_c00_side-1,0,7,4,1,-0.05072673817630857,-0.5782883297652006,-0.05120568349957466,-0.5775817632675171,0.8535952426807575
diffusion,test_c00_side-1,0,7,5,1,-0.07316395826637745,-0.5720571260899305,-0.07226085662841797,-0.5699661374092102,2.2776800107534068
