model,reference_trajectory,source_episode_id,prediction_step,valid_endpoints,error_sum_mm
diffusion,test_c00_side-1,200,1,48,22.892868976441957
diffusion,test_c00_side-1,200,2,48,60.26905719178711
diffusion,test_c00_side-1,200,3,48,96.89355702173773
diffusion,test_c00_side-1,200,4,48,182.91546512445407
diffusion,test_c00_side-1,200,5,48,286.4793333162972
diffusion,test_c00_side-1,200,6,48,376.56983729651705
diffusion,test_c00_side+1,2200,1,48,18.137567493630232
diffusion,test_c00_side+1,2200,2,48,39.26488740849427
diffusion,test_c00_side+1,2200,3,48,60.8076010629057
diffusion,test_c00_side+1,2200,4,48,84.99626646363174
diffusion,test_c00_side+1,2200,5,48,148.46525876851916
diffusion,test_c00_side+1,2200,6,48,265.00491900509553
diffusion,test_c01_side-1,10200,1,48,26.588779392191153
diffusion,test_c01_side-1,10200,2,48,58.09259361746879
diffusion,test_c01_side-1,10200,3,48,104.21754052885314
diffusion,test_c01_side-1,10200,4,48,164.47874128892687
diffusion,test_c01_side-1,10200,5,48,289.1390038336515
diffusion,test_c01_side-1,10200,6,48,416.6154810352108
diffusion,test_c01_side+1,12200,1,48,19.83019856503338
diffusion,test_c01_side+1,12200,2,48,39.66518162991414
diffusion,test_c01_side+1,12200,3,48,41.04814030984994
diffusion,test_c01_side+1,12200,4,48,73.80505758622985
diffusion,test_c01_side+1,12200,5,48,110.36453068117642
diffusion,test_c01_side+1,12200,6,48,155.73255293570753
diffusion,test_c02_side-1,20200,1,48,42.82982564239522
diffusion,test_c02_side-1,20200,2,48,94.5025748239202
diffusion,test_c02_side-1,20200,3,48,180.24866860435435
diffusion,test_c02_side-1,20200,4,45,249.89259675519966
diffusion,test_c02_side-1,20200,5,43,321.6950286651431
diffusion,test_c02_side-1,20200,6,42,431.23556801699624
diffusion,test_c02_side+1,22200,1,48,17.468137112821335
diffusion,test_c02_side+1,22200,2,48,41.12049026386993
diffusion,test_c02_side+1,22200,3,48,73.26813934297024
diffusion,test_c02_side+1,22200,4,48,91.71043861690652
diffusion,test_c02_side+1,22200,5,48,144.6114068075764
diffusion,test_c02_side+1,22200,6,48,218.59921007997593
diffusion,test_c03_side-1,30200,1,48,21.145320346579382
diffusion,test_c03_side-1,30200,2,48,42.63437427323132
diffusion,test_c03_side-1,30200,3,48,68.24417748004257
diffusion,test_c03_side-1,30200,4,48,96.13527613447613
diffusion,test_c03_side-1,30200,5,48,115.41717815223468
diffusion,test_c03_side-1,30200,6,48,189.4172143550974
diffusion,test_c03_side+1,32200,1,48,28.090087972320966
diffusion,test_c03_side+1,32200,2,48,55.58716333266826
diffusion,test_c03_side+1,32200,3,48,79.207782572561
diffusion,test_c03_side+1,32200,4,48,166.11361717193824
diffusion,test_c03_side+1,32200,5,48,300.96775211120195
diffusion,test_c03_side+1,32200,6,45,462.08620907250787
diffusion,test_c04_side-1,40200,1,48,25.93445132939081
diffusion,test_c04_side-1,40200,2,48,43.959828706821426
diffusion,test_c04_side-1,40200,3,48,68.59204832877155
diffusion,test_c04_side-1,40200,4,48,96.80941874850801
diffusion,test_c04_side-1,40200,5,48,164.7698506022035
diffusion,test_c04_side-1,40200,6,48,229.97865148700248
diffusion,test_c04_side+1,42200,1,48,19.12823988156692
diffusion,test_c04_side+1,42200,2,48,40.508302372605414
diffusion,test_c04_side+1,42200,3,48,64.27672676013819
diffusion,test_c04_side+1,42200,4,48,90.8597845323445
diffusion,test_c04_side+1,42200,5,48,145.79282325341046
diffusion,test_c04_side+1,42200,6,48,215.9821911318811
diffusion,test_c05_side-1,50200,1,48,27.23746133370226
diffusion,test_c05_side-1,50200,2,48,51.16081432106287
diffusion,test_c05_side-1,50200,3,48,123.1712084004302
diffusion,test_c05_side-1,50200,4,48,244.48480285770384
diffusion,test_c05_side-1,50200,5,48,322.0776956393369
diffusion,test_c05_side-1,50200,6,46,506.81374458827776
diffusion,test_c05_side+1,52200,1,48,17.00650708266024
diffusion,test_c05_side+1,52200,2,48,45.135034603798424
diffusion,test_c05_side+1,52200,3,48,68.83567363203817
